id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
323947,UA-0116,small_airport,"Nova Vasylivka Airstrip",50.3228953,28.3612108,,EU,Ukraine,UA,"Zhytomyr Oblast",UA-18,18,"Nova Vasylivka",0,,,,,,,50,2017-06-17T11:18:06+00:00
44402,UA-0036,small_airport,"Dmitrievka Airfield",48.950001,39.115002,,EU,Ukraine,UA,"Luhansk Oblast",UA-09,09,Novoaydar,0,UKCD,,,,,"Novoaydar Airfield, Аэродром Дмитриевка, Аэродром Новоайдар",50,2023-09-21T14:32:07+00:00
326004,UA-0120,small_airport,"Novopavlivka Airstrip",48.13629,36.73524,,EU,Ukraine,UA,"Dnipropetrovsk (Sicheslav) Oblast",UA-12,12,Novopavlivka,0,,,,,,,50,2021-04-11T13:48:13+00:00
35045,UA-3730,closed,"Okhtyrka Air Base",50.306,35.02,489,EU,Ukraine,UA,"Sumy Oblast",UA-59,59,Okhtyrka,0,,,,,https://en.wikipedia.org/wiki/Okhtyrka_(air_base),"Аэродром Ахтырка",50,2019-01-03T04:38:37+00:00
324103,UA-0117,small_airport,"Orekhovo Airfield",48.20211,35.021351,489,EU,Ukraine,UA,"Dnipropetrovsk (Sicheslav) Oblast",UA-12,12,Orekhovo,0,UKYO,,,,,,50,2021-12-30T16:08:56+00:00
340324,UA-0129,small_airport,"Koktebel Gliding Center",45.020896,35.206845,801,EU,Ukraine,UA,"Crimea (Autonomous Republic)",UA-43,43,Otvazhnoe,0,,,,,,,50,2021-03-19T16:57:30+00:00
35051,UA-9155,closed,"Ovruch Air Base",51.271366,28.720837,528,EU,Ukraine,UA,"Zhytomyr Oblast",UA-18,18,Ovruch,0,,,,,https://en.wikipedia.org/wiki/Ovruch_(air_base),,50,2023-10-30T09:28:15+00:00
318220,UA-0086,small_airport,Pohrebyshche,49.4943236,29.2417992,,EU,Ukraine,UA,"Vinnytsia Oblast",UA-05,05,Pohrebyshche,0,,,,,,,50,2016-06-02T11:31:41+00:00
45177,UA-0048,small_airport,"Poltava Air Base",49.627,34.487,,EU,Ukraine,UA,"Poltava Oblast",UA-53,53,Poltava,0,,,,,,"Аэродром Полтава",50,2009-11-18T14:13:25+00:00
351423,UA-0172,small_airport,"Korsak Airport",46.7513,35.6342,115,EU,Ukraine,UA,"Zaporizhia Oblast",UA-23,23,Pryazovs'ke,0,,,,,,,50,2022-01-12T18:22:27+00:00
